rank,lead_name,category,primary_sport_or_event,market,source_url,public_contact_path,paid_tailgate_evidence,size_fit,why_it_is_a_fit,suggested_offer,status
1,Timmy from Da Bus / Chicago Bears Tailgating Club,independent paid tailgate host,"NFL, soccer, concerts","Chicago, IL",https://tailgreeter.com/timmy-from-da-bus,"Tailgreeter Contact Host","Upcoming 2026 paid events listed from $50-$75; 44 Tailgreeter reviews; lot-based events at 2200 S Wabash.","Medium-to-large; related Tailgreeter event shows mid-size 75-200 and some home-game events scale larger.","Repeat host with strong reviews, public paid listings, recurring event calendar, and fan-led personality. This is a very direct TailgateTime host prospect.","Offer a direct host account with recurring-event templates, guest messaging, check-in QR codes, and group ticket links.",not_contacted
2,Madison Tailgates,independent paid college tailgate host,college football,"Madison, WI",https://tailgreeter.com/madison-tailgates,"Tailgreeter Contact Host","Multiple 2026 Wisconsin football tailgates listed from $25; 34 Tailgreeter reviews.","Mid-size 75-200 shown on event pages.","Recurring paid college football host with strong reviews and repeat home-game schedule near Camp Randall.","Pitch TailgateTime as a cleaner recurring Badgers tailgate page with per-game RSVP, waitlist, and sponsor/vendor spots.",not_contacted
3,Tailgreeter Vandy,paid college tailgate host,college football,"Nashville, TN",https://www.tailgreeter.com/tailgreeter-vandy,"Tailgreeter Contact Host","Multiple 2026 Vanderbilt football tailgates listed from $30.","Medium-to-large; some event pages scale up for bigger SEC games.","Recurring home-game host with a full 2026 slate and low-ticket-price audience that needs easy discovery and sharing.","Offer batch-created home-game listings, guest list export, and simple share links for student/alumni groups.",not_contacted
4,Tailgreeter Florida,paid college tailgate host,college football,"Gainesville, FL",https://tailgreeter.com/high-noon-florida,"Tailgreeter Contact Host","Multiple 2026 Florida football tailgates listed from $25; public host page with reviews.","Likely medium; verify per-game size before outreach.","Recurring SEC tailgate host with paid entries and campus-location repeatability.","Pitch TailgateTime for Gators home-game templates, guest coordination, and simple upgrade paths for larger rivalry games.",not_contacted
5,Tailgate Better,tailgate event operator,"college football, NFL, bowl games, concerts, softball","Nashville, TN / national",https://tailgreeter.com/vendor/21/reviews,"Tailgreeter host profile / Host a tailgate","249 Tailgreeter reviews; review history references paid tailgates at Nissan Stadium, bowl games, concerts, and sporting events.","Medium-to-large depending event; reviews indicate both manageable and high-attendance events.","Experienced operator across sports and entertainment with a clear need for repeat-event operations and guest communication.","Offer TailgateTime as an operator dashboard for multi-event calendars, check-in, sponsor placements, and follow-up lists.",not_contacted
6,Well Done Events,tailgate event operator,concerts and stadium events,"Nashville, TN",https://tailgreeter.com/well-done-events,"Tailgreeter Contact Host","22 Tailgreeter reviews; 2026 paid tailgates listed from $50 at 100 Interstate Dr.","Medium; verify per event.","Runs recurring paid pre-event tailgates near stadium events and already understands ticketed hospitality.","Pitch TailgateTime as a way to own the host relationship instead of relying only on marketplace discovery.",not_contacted
7,Tailgate Party Committee,independent paid tailgate host,"college football, NFL, bowl games","Atlanta, GA / Southeast",https://tailgreeter.com/sec-championship-tailgate-party-3,"tailgatepartycommittee@gmail.com / 404-838-9191 / Tailgreeter Contact Host","Paid all-inclusive SEC Championship tailgate listed at $75; public email and phone; host page shows reviews.","Often large or monster; include as strong host lead but verify desired scale.","Runs ticketed tailgates with food, open bar, DJ, video wall, games, and repeat major-event experience.","Offer TailgateTime for large-event check-in, group packages, refund-policy visibility, and sponsor/vendor promotion.",not_contacted
8,Tailgate Pro Entertainment,professional tailgate operator,"NFL, college, concerts, private events","Tampa, FL / national",https://tailgateproentertainment.com/all-inclusive-tailgates/,"Website booking/contact path","Hosts public all-inclusive paid tailgate experiences with tickets through partners; main site says 300+ events per year.","Can scale from small groups to 1000+; prioritize medium private/public event pilots.","Professional setup company with turnkey tailgate infrastructure, staff, games, food, drinks, and repeat event volume.","Pitch TailgateTime as a guest-facing layer for public experiences and private booking upsells.",not_contacted
9,Gameday Tailgate Experience / GTE Presents,national paid tailgate operator,NFL and stadium events,"National",https://gtepresents.com/,"Contact Us / 800-685-7618","Sells all-inclusive pregame tailgate tickets with food, drinks, entertainment, and special guest hosts.","Medium-to-large; verify city-by-city event size.","Direct paid-tailgate operator with multi-city ambitions and a guest experience product similar to TailgateTime's target host profile.","Offer TailgateTime for city-specific event pages, guest messaging, QR check-in, and host CRM follow-up.",not_contacted
10,Big Blue BBQ,independent paid/donation tailgate host,NFL,"East Rutherford, NJ",https://bigbluebbq.com/venue/metlife-stadium/,"bigbluebbq@bigbluebbq.com / website contact form","2026 Giants home tailgate events listed at $30-$75; FAQ describes paid reservation/donation process.","Large but recurring; strong family-friendly paid host fit.","Long-running MetLife tailgate with public 2026 event schedule, payments/reservations, food, DJ, and recurring home-game demand.","Pitch TailgateTime as an easier reservation, waitlist, and guest-confirmation layer for each home game.",not_contacted
11,Yinzer Mob,independent paid tailgate host,NFL,"Pittsburgh, PA",https://tailgreeter.com/pittsburghtailgate,"Tailgreeter Contact Host / yinzermob@gmail.com / 412-689-1954","Tailgreeter host page shows 18 reviews; public listings mention paid tailgate admission and parking.","Medium-to-large; verify current 2026 schedule.","Known fan-led Steelers tailgate with merchandise, travel energy, and paid admission history.","Offer TailgateTime for home and away-game tailgate listings, parking add-ons, and fan-group communication.",not_contacted
12,LucyGate,donation-supported college tailgate host,college football,"Cincinnati, OH",https://lucygateuc.com/,"tailgate@lucygate.com / website contact form","Public site and FAQ say they provide food, drink, and entertainment and accept donations; Tailgreeter listings show mid-size events.","Mid-size 75-200 on Tailgreeter event pages.","Family-friendly Bearcats tailgate with recurring campus presence, public contact path, and contribution-based hosting model.","Pitch TailgateTime as a lightweight RSVP and donation/intake page for recurring home games.",not_contacted
13,DNVR Sports Broncos Tailgate,paid media/community tailgate host,NFL,"Denver, CO",https://tailgreeter.com/dnvr-broncos-divisional-afc-championship-tailgate,"Tailgreeter Contact Host","All-inclusive Tailgreeter listing at $120 with food, drinks, live DJ, TVs, vendor tents, and shuttle option.","Mid-size 75-200.","Established Broncos community tailgate with media audience, vendors, and repeat-event potential.","Offer TailgateTime for member RSVPs, sponsor callouts, check-in, and group/shuttle package tracking.",not_contacted
14,X-Minnesota Tailgates,paid tailgate host,NFL,"Minneapolis, MN",https://tailgreeter.com/x-minnesota-tailgates,"Tailgreeter Contact Host","Tailgreeter host page lists paid Vikings-related tailgates from $75.","Medium; verify because review volume is low.","Public paid host with recurring stadium-proximate listings and clear need for guest trust and logistics clarity.","Pitch TailgateTime for better event detail pages, map clarity, guest reminders, and review capture.",not_contacted
15,Xperience Tailgates - Seattle,paid tailgate host,"soccer, NFL, stadium events","Seattle, WA",https://tailgreeter.com/xperience-tailgates-seattle,"Tailgreeter Contact Host","2026 World Cup tailgates listed from $50-$75; public host profile with reviews.","Likely medium; verify per match.","Upcoming 2026 event slate gives TailgateTime a current reason to pitch before demand spikes.","Offer TailgateTime for World Cup tailgate discovery, match-by-match pages, guest messaging, and sponsor slots.",not_contacted
16,Xperience Tailgate at Allegiant,paid tailgate host,NFL,"Las Vegas, NV",https://www.tailgreeter.com/las-vegas-raiders-vs-chicago-bears-tailgate,"Tailgreeter Contact Host","All-inclusive Raiders tailgate listing with tacos, open bar, music, games, shaded areas, and paid booking.","Mid-size 75-200.","Lot-based paid tailgate at Allegiant with a clean medium-size profile and family-friendly positioning.","Pitch TailgateTime for Raiders home-game templates, check-in, and add-on package management.",not_contacted
17,Big Easy Saints Tailgate / Big Easy Catering & Events,paid tailgate host,NFL,"New Orleans, LA",https://www.tailgreeter.com/big-easy-saints-tailgate-new-orleans-saints-v-tampa-bay-buccaneers,"Tailgreeter Contact Host","Paid season/game packages on Tailgreeter; listing describes food, DJ, games, seating, restrooms, and sponsors.","Large 200-500; source notes they made it smaller after past 800-1000 attendance.","Strong paid-tailgate host because they intentionally manage crowd size and corporate/VIP sponsorship needs.","Offer TailgateTime for season-pass guest management, sponsor visibility, and group package tracking.",not_contacted
18,Leatherheads NHL Tailgate - Tampa,paid charity tailgate host,NHL Stadium Series,"Tampa, FL",https://tailgreeter.com/leatherheads-nhl-stadium-series-vip-tailgate-tampa,"Tailgreeter Contact Host","Paid Tailgreeter listing at $125 with all-inclusive food/drinks, DJ, covered areas, games, private restrooms, and charity proceeds.","Large 200-500.","Non-football proof point: organized paid tailgates work for hockey stadium events too, and charity hosts need clean check-in and donation story pages.","Pitch TailgateTime for charity-branded event pages, check-in, raffle/donation notes, and guest reminders.",not_contacted
19,Premium Seats USA - Houston Texans Tailgate,paid tailgate operator,NFL,"Houston, TX",https://www.eventbrite.com/e/premium-tailgate-party-houston-texans-vs-arizona-cardinals-tickets-1406463553349,"Eventbrite Contact organizer","Eventbrite listing by Premium Seats USA with tailgate-only ticket at $76.54; all-inclusive BBQ, drinks, DJ, games, TVs, and NRG Blue Lot location.","Likely medium-to-large; verify current capacity.","Paid parking-lot tailgate with repeat home-game package structure and clear Eventbrite organizer contact.","Offer TailgateTime as a lower-friction branded event page and guest communication tool for each Texans home game.",not_contacted
20,Premium Seats USA - Kansas City Chiefs Tailgate,paid tailgate operator,NFL,"Kansas City, MO",https://www.eventbrite.com/e/kansas-city-chiefs-vs-los-angeles-chargers-tailgate-game-day-packages-registration-1435375018319,"Eventbrite Contact organizer","Eventbrite listing by Premium Seats USA with $100.86 tailgate ticket; BBQ, drinks, DJ, games near stadium.","Likely medium-to-large; verify current capacity.","Repeatable paid tailgate package in a heavy tailgate market with public ticketing and organizer path.","Pitch TailgateTime for Chiefs home-game landing pages, group sales links, and check-in data.",not_contacted
21,Premium Seats USA - Las Vegas Raiders Tailgate,paid tailgate operator,NFL,"Las Vegas, NV",https://www.eventbrite.com/e/las-vegas-raiders-vs-denver-broncos-tailgate-game-day-packages-tickets-1438917905189,"Eventbrite Contact organizer","Eventbrite listing by Premium Seats USA with $92.55 paid tailgate; food, open bar, games, DJ, Lot J.","Likely medium; verify current capacity.","Paid Allegiant-area tailgate with clear event package format and travel-fan appeal.","Offer TailgateTime for game-by-game templates, guest text updates, and group package intake.",not_contacted
22,Premium Seats USA - Pittsburgh Steelers Tailgate,paid tailgate operator,NFL,"Pittsburgh, PA",https://www.eventbrite.com/e/premium-tailgate-party-pittsburgh-steelers-vs-miami-dolphins-tickets-1419381581519,"Eventbrite Contact organizer","Eventbrite listing by Premium Seats USA with $65.87 tailgate-only ticket; all-inclusive food, open bar, games, DJ, raffles.","Likely medium-to-large; verify current capacity.","Steelers paid tailgate in parking lot format, separate from bars/restaurants, with public organizer path.","Pitch TailgateTime as a Pittsburgh game-day guest-management and repeat-list builder.",not_contacted
23,Premium Seats USA - New York Giants / MetLife Tailgate,paid tailgate operator,NFL,"East Rutherford, NJ",https://www.eventbrite.com/e/premium-tailgate-party-new-york-giants-vs-kansas-city-chiefs-tickets-1407877402209,"Eventbrite Contact organizer","Eventbrite listing by Premium Seats USA with tailgate and game-day packages; food, beverages, large-screen TV, DJ, Lot J.","Likely medium-to-large; verify current capacity.","MetLife paid-lot tailgate with travel-package crossover and strong fit for centralized logistics.","Offer TailgateTime for group package pages, game-day reminders, and check-in list handling.",not_contacted
24,Ten10 Events Eagles Tailgate,paid event host,NFL,"Arlington, TX",https://www.eventbrite.com/e/ten-10-pre-game-eagles-tailgate-tickets-1389796080489,"Eventbrite Contact organizer","Eventbrite listing by Ten10 Events with $85 tailgate including BBQ, open bar, DJ, 360 booth, mechanical bull, games, and indoor/outdoor setup.","Medium; verify current 2026 schedule.","Paid traveling-fan tailgate near AT&T Stadium with strong experience design and public organizer contact.","Pitch TailgateTime for visiting-fan event pages, group RSVPs, and reusable road-game host templates.",not_contacted
25,Love City Vet / Philadelphia Tailgate Co Eagles Tailgate Pawty,charity paid tailgate host,NFL,"Philadelphia, PA",https://www.eventbrite.com/e/eagles-tailgate-pawty-tickets-1631858154669,"Eventbrite Contact organizer","Eventbrite listing at $65.87 for private Lot N1 tailgate with unlimited food/drink, tents, tables, chairs, lawn games, raffles, and charity proceeds.","Medium; verify if recurring beyond listed event.","Charity tailgate with a clean paid/private format and sponsor/fundraising angle.","Offer TailgateTime for charity host pages, ticket/RSVP tracking, sponsor callouts, and post-event supporter follow-up.",not_contacted
