priority,lead_name,category,location,source_url,public_contact_path,why_this_is_a_fit,suggested_offer,first_message_angle,status
5,Buffalo Tailgates,paid tailgate organizer,"3892 Southwestern Blvd, Orchard Park, NY",https://www.eventbrite.com/e/buffalo-tailgates-bills-home-opener-tickets-1985076128136,"Eventbrite organizer/contact host","Runs premium ticketed Bills tailgate experiences steps from the stadium; existing paid-event behavior.","Offer TailgateTime as a cleaner event page, RSVP/ticketing, guest messaging, and check-in layer for each home game.","Saw your premium Bills tailgate events near Highmark. TailgateTime is built for hosts who already manage paid spots, guest updates, and game-day check-in.",not_contacted
5,Gameday Hospitality - Buffalo Red Zone Tailgate,paid tailgate organizer,"3880 Abbott Rd, Orchard Park, NY",https://www.gamedayhospitality.com/buffalo-red-zone-pre-game-tailgate-experience/,"Website contact / inquiry","All-inclusive pregame tailgate with multiple ticket tiers, games, entertainment, and very high-volume host operations.","Pitch partnership or host tools for guest communications, check-in, and repeat-event operations.","You already run a large organized tailgate. TailgateTime could support check-in, guest updates, and event operations around the Buffalo Red Zone experience.",not_contacted
5,Danny's South,tailgate lot + catering,"4300 Abbott Rd, Orchard Park, NY",https://www.dannysrestaurant.com/dannys-south/tailgates/,"Phone listed on website; contact via website","Explicitly promotes tailgating for every Bills home game, parking, RV/bus access, and tailgate food specials.","Offer TailgateTime pages for groups parking/catering with Danny's; QR flyers for lot/catering customers.","Saw Danny's South is already a Bills tailgate hub. TailgateTime could help groups organize RSVPs and food headcount before they arrive.",not_contacted
5,Prohibition 2020,official Bills Backers bar / game-day venue,"3847 Southwestern Blvd, Orchard Park, NY",https://prohibition2020op.com/,"prohibitionbr2020@gmail.com / 716-202-4016","Official Bills Backer chapter near stadium with game-day energy, private parties, catering, and social handles.","Offer venue-hosted watch/tailgate event pages and private party RSVP pages.","You are already an official Bills Backers spot next to the stadium. TailgateTime could help your private parties and game-day groups RSVP from one link.",not_contacted
5,Big G Properties,private parking + tailgating lot,"5375 Big Tree Rd, Orchard Park, NY",https://www.biggpropertiesllc.com/,"Website contact","Family-owned game-day parking lot with dedicated tailgate zones near stadium entrances.","Offer a simple TailgateTime lot partner page for groups reserving/meeting in tailgate zones.","Saw Big G's Lot supports parking and tailgating right by the stadium. TailgateTime could help groups coordinate meetups and RSVPs before game day.",not_contacted
5,Gorilla Lot Events,private parking + event venue,"Near Highmark Stadium, Orchard Park, NY",https://www.gorillalotparking.com/,"Website reservation/contact","Private lot plus party barn for up to 100 people; explicitly mentions private tailgates and fantasy football drafts.","Offer TailgateTime as booking/RSVP/event-page support for private parties and tailgates.","Your party barn and private tailgate setup is exactly the kind of host operation TailgateTime supports.",not_contacted
4,500 Pearl,indoor tailgate/watch party venue,"500 Pearl St, Buffalo, NY",https://500pearlbuffalo.com/bills-game-day-tailgate-parties/,"Website event/private event inquiry","Runs Bills game-day tailgate parties with food, drinks, vendors, giveaways, VIP tables, and RSVPs.","Offer TailgateTime as event listing + VIP table/share link + vendor/guest communication tool.","Saw your Bills Game Day Tailgate Parties. TailgateTime could make each game-day event easier to share, RSVP, and promote to hosts/groups.",not_contacted
4,Buffalo RiverWorks,watch party + private suite venue,"359 Ganson St, Buffalo, NY",https://buffaloriverworks.com/gameday-viewing-vip-suites/,"mchase@buffaloriverworks.com / info@buffaloriverworks.com","Hosts game-day viewing VIP suites and accepts private party reservations; public contact listed.","Offer TailgateTime pages for suite groups, private watch parties, and recurring game-day events.","RiverWorks already runs Bills game-day viewing packages. TailgateTime could help guests organize groups and reserve/share event details.",not_contacted
4,Rec Room Buffalo,watch party venue,"79 W Chippewa St, Buffalo, NY",https://recroombuffalo.com/gameday/,"info@recroombuffalo.com / website reservation form","Promotes best game-day experience outside stadium, table reservations, bottle service for groups, and special effects.","Offer event pages for group reservations and recurring Bills watch parties.","Saw Rec Room is running a strong Bills game-day experience. TailgateTime could help groups organize around reservations and share one event link.",not_contacted
4,Wayland Brewing Company,Orchard Park brewery + event venue,"3740 N Buffalo St, Orchard Park, NY",https://www.waylandbrewing.com/contact-us,"info@waylandbrewing.com / 716-755-2509","Orchard Park venue with beer garden/lawn games/event space; recent large Bills Mafia event evidence.","Offer TailgateTime pages for pregame meetups, private groups, and lawn-game events.","Wayland has the right Orchard Park location and event setup for Bills groups. TailgateTime could help pregame hosts organize RSVPs and guest updates.",not_contacted
4,Big Tree Inn,sports bar / Bills landmark,"4277 Abbott Rd, Orchard Park, NY",https://bigtreeinnbuffalo.com/about-us/,"info@bigtreeinnbuffalo.com / 716-648-6749","Longtime Bills sports bar within walking distance of stadium; major fan destination.","Offer TailgateTime as a lightweight page for visiting groups meeting before games.","Big Tree is a Bills fan landmark. TailgateTime could help visiting groups coordinate meetups before walking to the stadium.",not_contacted
4,O'Neill's Stadium Inn,stadium bar / restaurant,"3864 Abbott Rd, Orchard Park, NY",https://www.tripadvisor.com/Restaurant_Review-g48338-d4601791-Reviews-O_Neill_s_Stadium_Inn-Orchard_Park_New_York.html,"716-646-4674 / website/menu listing","Across from stadium and described as a place to party for Bills games.","Offer TailgateTime event pages for groups planning pregame stops and private gatherings.","Since O'Neill's is across from the stadium, TailgateTime could help groups organize one-link pregame plans and headcount.",not_contacted
4,The Byrd House,bar/restaurant with Bills events,"Orchard Park, NY",https://www.thebyrdhouseop.com/events/bills-game-day,"Website event/contact pages","Runs Bills game-day and Bills pop-up events in Orchard Park.","Offer TailgateTime listings for Bills event nights and local fan groups.","Saw your Bills game-day and pop-up events. TailgateTime could help you turn those into shareable RSVPs and repeat event pages.",not_contacted
5,Fans of Buffalo,travel + tailgate company,"Buffalo / away-game travel",https://fansofbuffalo.com/about/,"716-221-0313 / website contact","Travel and tailgate company with 10+ years organizing Buffalo sports trips and tailgate packages.","Offer partnership for TailgateTime event pages for trip/tailgate groups and away-game packages.","You already organize Buffalo sports trips and tailgates. TailgateTime could be a clean companion for itinerary, tailgate details, RSVPs, and guest updates.",not_contacted
4,Mafia Boat Parade,fan event organizer / charity event,"Buffalo waterfront",https://mafiaboatparade.com/,"Website registration/contact","Annual Bills Mafia fan event with registration and charity tie-in; strong community organizer signal.","Offer TailgateTime as registration/RSVP and host-discovery support for related pre/post events.","The Mafia Boat Parade is a strong Bills community event. TailgateTime could help organize related meetups, viewing areas, and registered host groups.",not_contacted
4,Buffalo Underdogs Rescue,charity tailgate/watch party organizer,"Kenmore/Buffalo area",https://givebutter.com/burtailgate,"Givebutter contact/social links","Hosted Bills tailgate/watch party with cornhole competition, food truck, raffles, and fundraising.","Offer free/charity event setup and RSVP pages for recurring fundraiser tailgates.","Saw your Bills Tailgate & Watch Party fundraiser with cornhole and raffles. TailgateTime could help future charity tailgates manage RSVPs and updates.",not_contacted
4,Seneca Niagara Resort & Casino,watch party venue,"310 4th St, Niagara Falls, NY",https://nationaltoday.com/us/ny/niagara-falls/events/2025/11/30/bills-chills-away-game-watch-party,"Venue event/ticketing contact","Hosted Bills & Chills away-game watch party with tailgate-themed buffet and alumni appearance.","Offer TailgateTime event listing for group watch parties and VIP packages.","Saw Seneca Niagara hosted a Bills watch party with a tailgate-themed buffet. TailgateTime could help promote and organize recurring fan events.",not_contacted
3,Giacobbi's Cucina Citta,watch party venue,"59 Allen St, Buffalo, NY",https://stepoutbuffalo.com/event/bills-watch-party-every-bills-game-afternoon-or-evening-til-the-super-bowl/,"716-834-4000","Runs Bills watch parties for every game according to local event listing.","Offer lightweight recurring event pages and group RSVP links.","Saw Giacobbi's is hosting Bills watch parties every game. TailgateTime could give regulars one place to RSVP and get updates.",not_contacted
4,CWA Local 1168,organization hosting member watch party,"Buffalo, NY",https://cwa1168.org/news/watchparty,"Union website contact/stewards","Organized member Bills Watch Party at Buffalo RiverWorks; clear group-event behavior.","Offer private invite-only event setup for member groups and unions.","Saw CWA Local 1168 organized a Bills watch party for members. TailgateTime could help private groups manage RSVPs and updates for events like that.",not_contacted
3,Beer Kind Brewing,Bills-themed event venue,"Tonawanda/Buffalo area",https://www.eventbrite.com/d/ny--orchard-park/buffalo-bills-tailgate/,"Eventbrite listing / venue contact","Eventbrite surfaced Bills Trivia at Beer Kind Brewing; fan-event behavior but not necessarily tailgate host.","Offer recurring Bills-themed event pages for trivia/watch parties.","Saw Beer Kind Brewing has Bills-themed events. TailgateTime could help turn fan nights into repeatable RSVP events.",not_contacted
3,Oakk Haus,Bills event venue,"Buffalo area",https://www.eventbrite.com/d/ny--orchard-park/buffalo-bills-tailgate/,"Eventbrite listing / venue contact","Eventbrite surfaced Bills Home Opener Kickoff at Oakk Haus; likely local fan-event venue.","Offer event-page setup for kickoff/watch parties.","Saw the Bills Home Opener Kickoff listing. TailgateTime could help manage RSVPs, guest updates, and future game-day events.",not_contacted
5,Official Bills Backers Chapter Directory,lead source / fan clubs,"Buffalo Bills network",https://www.buffalobills.com/fans/bills-backers/chapters,"Use directory contact/social handles by chapter","Official directory exposes independent Bills Backers chapters with contact/social info; high-volume lead source beyond Buffalo.","Use as systematic source for chapter outreach and partner recruitment.","The Bills Backers directory is a structured source of independent fan communities that already gather for game day.",not_contacted
4,Prohibition 2020 Bills Backers Chapter,fan club chapter + venue,"3847 Southwestern Blvd, Orchard Park, NY",https://www.billsfans.com/bills-backers/united-states/new-york/western/orchard-park/,"Chapter listing / venue contact","BillsFans listing identifies Prohibition 2020 as chapter bar and provides chapter-president/contact context.","Use fan-club-specific pitch, separate from venue pitch.","Saw Prohibition 2020 listed as a Bills Backers chapter. TailgateTime could help your chapter organize game-day events and member RSVPs.",not_contacted
3,TableJumpers,Bills Mafia community platform,"Online / Bills Mafia community",https://tablejumpers.com/,"Website community/contact","Community for Bills fans around tailgating, backer bars, and fan discovery; potential partner/channel rather than single host.","Explore partnership or cross-promotion for host discovery.","TailgateTime and TableJumpers overlap around helping Bills fans find gatherings and game-day community.",not_contacted
