rank,lead_name,college_market,city_state,lead_type,source_url,public_contact_path,paid_evidence,size_fit,why_prioritize,outreach_angle,status
1,Madison Tailgates,Wisconsin Badgers,"Madison, WI",independent paid tailgate host,https://tailgreeter.com/madison-tailgates,"Tailgreeter Contact Host","2026 Wisconsin home-game tailgates listed from $25; 34 reviews; event pages show ticket scanning and guest sharing.","Strong medium fit; event pages show Mid-size 75-200.","Cleanest college-town match: repeat home-game slate, paid tickets, BBQ, DJ, games, near-stadium location, and proven reviews.","Lead with all-in-one ticket sales/check-in and reduced platform fee after 10 tickets at $25+.",not_contacted
2,Tailgreeter Vandy,Vanderbilt Commodores,"Nashville, TN",paid college tailgate host,https://www.tailgreeter.com/tailgreeter-vandy,"Tailgreeter Contact Host","2026 Vanderbilt home-game tailgates listed from $30 across the home schedule.","Medium-to-large; some games show 75-200 and rivalry games can scale larger.","Repeat SEC home-game host with clear public listings and a manageable ticket price.","Pitch recurring event templates, one host page for the season, and ticket check-in from the app.",not_contacted
3,Tailgreeter Florida,Florida Gators,"Gainesville, FL",paid college tailgate host,https://tailgreeter.com/high-noon-florida,"Tailgreeter Contact Host","2026 Florida home-game tailgates listed from $25, including FAU, Campbell, Ole Miss, South Carolina, Oklahoma, and Vanderbilt.","Large 200-500 on several event pages; still useful as a college-town host lead.","Active SEC market with a full 2026 slate and affordable entry price that maps well to the founding promo.","Pitch TailgateTime as a lower-friction way to sell 10+ tickets and keep the 8% founding rate for a year.",not_contacted
4,Gameday Michigan / Michigan Blue Zone Tailgate,Michigan Wolverines,"Ann Arbor, MI",paid college tailgate operator,https://tailgreeter.com/gameday-michigan,"Tailgreeter Contact Host","Tailgreeter host page lists Michigan Blue Zone tailgate; event pages show tickets from $60-$150 and all-inclusive options.","Large 200-500 for football; some 2026 event pages show Mid-size 75-200.","High-demand Big Ten college town with premium paid tailgate behavior already established.","Pitch TailgateTime for per-game guest messaging, VIP check-in, group tickets, and season-pass communication.",not_contacted
5,The Experience Event & Tailgate,Ohio State Buckeyes,"Columbus, OH",independent paid tailgate host,https://tailgreeter.com/vendor/631/reviews,"Tailgreeter Contact Host / 614-795-4263","Tailgreeter reviews mention paid tickets; event pages show $20-$35 tickets, food, DJ, private bathroom, tents, and family-friendly setup.","Strong medium fit; multiple event pages show Mid-size 75-200.","Excellent host-led college-town prospect: real reviews, repeat Buckeye schedule, public phone, and obvious check-in pain point.","Lead with app-based ticket sales and check-in replacing scattered lists, wristbands, and text threads.",not_contacted
6,Tailgate Party Committee,Alabama Crimson Tide / SEC,"Tuscaloosa, AL",independent paid tailgate operator,https://tailgreeter.com/georgia-vs-alabama-tailgate-party,"tailgatepartycommittee@gmail.com / 404-838-9191","Tuscaloosa Georgia vs Alabama listing shows $75 all-inclusive ticket, food, open bar, DJ, LED video wall, games, and public contact info.","Large/monster; use as high-value operator lead even if bigger than medium.","Experienced SEC paid-tailgate operator with direct contact information and repeat event language.","Pitch TailgateTime for sponsor visibility, QR check-in, guest lists, and one-year founding fee discount if they start with a smaller pilot.",not_contacted
7,CrimsonAti Alabama Tailgates,Alabama Crimson Tide,"Tuscaloosa, AL",alumni group / membership tailgate host,https://www.eventbrite.com/e/tailgate-lsu-at-alabama-tickets-1849481251209,"Eventbrite Contact organizer / CrimsonAti public organizer path","Eventbrite listings require current membership, RSVP, on-site check-in, optional dues, donations, sponsors, and 150-seat capacity for LSU event.","Strong medium fit; seating capacity around 150 on LSU listing.","Alumni-led repeat tailgate with check-in, nametags, donations, food coordination, and sponsor interest already built in.","Pitch TailgateTime as cleaner member RSVP, donation/ticket add-on, check-in, and sponsor link handling.",not_contacted
8,Blur Events Husker Tailgate,Nebraska Cornhuskers,"Lincoln, NE",paid tailgate event host,https://www.eventbrite.com/e/blur-tailgate-usc-dave-julie-tickets-1835618427129,"Eventbrite Contact organizer / Blur Events public path","Eventbrite Nebraska vs USC tailgate lists paid tickets from $50.97 under the I-80/9th St bridge.","Medium likely; verify event capacity before outreach.","Public paid Husker game-day tailgate in a major college town with an organizer brand and repeat-event potential.","Pitch TailgateTime for ticket sales, arrival instructions, check-in, and guest reminders.",not_contacted
9,Blur Events Nebraska-Cincinnati Tailgate,Nebraska Cornhuskers,"Kansas City, MO / Lincoln, NE network",paid tailgate event operator,https://blurevents.com/kansascity,"blur@blurevents.com / 402-882-2448","Blur page lists tailgate tickets, drink-ticket options, FAQs, capacity, and direct contact info for Nebraska-related tailgate travel.","Large; good operator lead, not pure medium.","Nebraska-based operator with paid ticketing, game-day logistics, travel groups, and repeatable event operations.","Pitch TailgateTime for road-game tailgate pages and check-in/ticket handling across markets.",not_contacted
10,Zambo Iowa vs Nebraska Tailgate,Nebraska Cornhuskers,"Lincoln, NE",independent paid tailgate host,https://tailgreeter.com/iowa-vs-nebraska,"Tailgreeter host path","Tailgreeter listing shows $40 per guest, Haymarket Park location, burgers, music, TV, lawn games, and check-in flow.","Medium fit; event page shows Mid-size 75-200, but listing is older and must be verified.","Good example of a smaller host who charges for a real game-day experience near Memorial Stadium.","Verify current activity; if active, pitch TailgateTime as a modern ticket/check-in replacement.",not_contacted
