priority,lead_name,category,location,source_url,public_contact_path,why_this_is_a_fit,suggested_offer,first_message_angle,status
5,Terrible Tailgate / Steeler Nation,paid tailgate organizer,"334 Federal Street, Pittsburgh, PA",https://www.steelernation.com/page/terrible-tailgate,terribletailgate@gmail.com,"Runs a large ticketed Steelers tailgate before every home game with food, live DJ, former player appearances, sponsors, and public ticketing.","Offer TailgateTime as a repeat-event host page for RSVPs, guest updates, sponsor visibility, check-in, and game-by-game sharing.","Saw Terrible Tailgate is already running one of the biggest Steelers pregame experiences. TailgateTime could help manage repeat events, guest updates, and sponsor visibility from one link.",not_contacted
5,Gameday Hospitality Pittsburgh Gold Zone Tailgate,paid tailgate organizer,"Near Acrisure Stadium, Pittsburgh, PA",https://www.gamedayhospitality.com/pittsburgh-gold-zone-tailgate-experience/,"Website contact / event inquiry","Operates all-inclusive Pittsburgh tailgate experiences before Steelers and Pitt home games with food, beverages, music, games, VIP areas, and giveaways.","Pitch TailgateTime as a host operations layer for RSVPs, guest communication, check-in, and repeat event discovery.","You already run high-volume Pittsburgh tailgates near Acrisure. TailgateTime could make each home-game event easier to share, manage, and convert repeat guests.",not_contacted
5,Stage AE,official tailgate zone / event venue,"400 North Shore Dr, Pittsburgh, PA",https://www.steelers.com/gameday/activities,"412-229-5483 / PromoWest venue inquiry","Listed by the Steelers as the official Tailgate Zone with live music, giant screens, food and drink specials, games, cornhole, and contests.","Offer TailgateTime for smaller hosted groups, private tailgate add-ons, and event discovery around Stage AE game-day activity.","Stage AE is already the official Steelers tailgate zone. TailgateTime could help fans organize group meetups and private tailgate plans around your game-day programming.",not_contacted
5,Tom's Watch Bar Pittsburgh,sports bar / private tailgate venue,"261 North Shore Drive, Suite 3, Pittsburgh, PA",https://tomswatchbar.com/pittsburgh/private-events/tailgate/,"412-254-8338 / website private events inquiry","Promotes Pittsburgh tailgate party experiences steps from Acrisure Stadium, with indoor/outdoor space and large-screen game-day setup.","Offer TailgateTime event pages for group tailgate packages, traveling fan groups, and pregame reservations.","Saw Tom's is actively selling tailgate party experiences on the North Shore. TailgateTime could help group hosts build and share one clean RSVP page before game day.",not_contacted
5,The Plaza at North Shore,outdoor event venue,"151 Mazeroski Way, Pittsburgh, PA",https://www.plazaatnorthshore.com/,"info@plazaatnorthshore.com / event inquiry","New year-round North Shore outdoor venue with concerts, draft-week tailgate programming, food, and large public gatherings.","Pitch TailgateTime for venue-hosted tailgate listings, group reservations, sponsor activations, and fan meetup pages.","The Plaza is built for exactly the kind of public game-day gathering TailgateTime helps organize and promote.",not_contacted
5,McFadden's Pittsburgh,North Shore sports bar / private events,"211 North Shore Drive, Pittsburgh, PA",https://www.mcfaddenspitt.com/,"mcfaddenspitt412@gmail.com / 412-322-3470","North Shore bar steps from Acrisure, Stage AE, and PNC Park; promotes private party space, VIP seating, catering, and game-day watch events.","Offer TailgateTime pages for private parties, traveling fan groups, VIP tables, and game-day RSVP links.","Saw McFadden's is already a North Shore game-day hub with private event space. TailgateTime could help groups reserve, RSVP, and coordinate before they arrive.",not_contacted
5,North Shore Tavern,North Shore sports bar,"120 Federal St, Pittsburgh, PA",https://northshoretavern.com/game-day-menu/,"Tiffany@NorthShoreTavern.com / 412-465-9865","Located by PNC Park and Acrisure; explicitly opens early for Steelers 1 PM home games and promotes a game-day menu.","Offer TailgateTime for group meetups, pregame table interest, and shareable game-day event pages.","Saw North Shore Tavern opens early for Steelers home games. TailgateTime could help groups coordinate pregame meetups from one link.",not_contacted
4,Shorty's Pins x Pints,game venue / North Shore bar,"353 North Shore Dr, Pittsburgh, PA",https://www.visitpittsburgh.com/directory/shortys-pins-x-pints/,"412-904-4450 / website inquiry","North Shore social venue with duckpin bowling, shuffleboard, bocce, cornhole, pinball, photo booth, food, and outdoor fire pits.","Position TailgateTime around game-like tailgate meetups, fan challenges, and private group pages before or after Steelers games.","Shorty's already has the game-day social tools TailgateTime hosts need: cornhole, groups, food, and easy North Shore access.",not_contacted
4,Southern Tier Pittsburgh,North Shore brewery / game-day venue,"316 N. Shore Drive, Pittsburgh, PA",https://pittsburgh.stbcbeer.com/,"412-301-2337 / website event inquiry","North Shore taproom near Acrisure with beer garden and copy specifically mentioning Steelers and Pirates game-day visits.","Offer hosted pregame pages, group meetup RSVPs, and brewery partner promotions for TailgateTime hosts.","Saw Southern Tier is already a North Shore pregame spot. TailgateTime could help fan groups organize meetups before Steelers games.",not_contacted
4,Pittsburgh Brewing Company,brewery / watch party host,"150 Ferry Street, Creighton, PA",https://pittsburghbrewing.com/event/football-watch-party/,"Website contact / taproom event inquiry","Runs family-friendly Steelers football watch parties on a 24-foot indoor screen with DJs, food trucks, charity tie-ins, and non-alcoholic options.","Offer TailgateTime for recurring watch-party listings, charity/group RSVPs, and host promotion outside the stadium radius.","Saw Pittsburgh Brewing runs recurring family-friendly football watch parties. TailgateTime could help hosts and groups RSVP, share, and build repeat attendance.",not_contacted
